pokemonNumber,pokemonName,imageUrl,classification,alternateFormName,originalPokemonId,legendaryType,pokemonHeight,pokemonWeight,primaryType,secondaryType,primaryAbility,primaryAbilityDescription,secondaryAbility,secondaryAbilityDescription,hiddenAbility,hiddenAbilityDescription,specialEventAbility,specialEventAbilityDescription,maleRatio,femaleRatio,baseHappiness,gameOfOrigin,regionOfOrigin,healthStat,attackStat,defenseStat,specialAttackStat,specialDefenseStat,speedStat,baseStatTotal,healthEV,attackEV,defenseEV,specialAttackEV,specialDefenseEV,speedEV,evYieldTotal,catchRate,experienceGrowth,experienceGrowthTotal,experienceYield,primaryEggGroup,secondaryEggGroup,eggCycleCount,preEvolutionPokemonId,evolutionDetails
10,Caterpie,https://assets.pokemon.com/assets/cms2/img/pokedex/full/010.png,Worm Pokemon,,,,0.3,2.9,Bug,,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,,,Run Away,Enables a sure getaway from wild Pokémon.,,,50,50,70,Red / Blue / Yellow,Kanto,45,30,35,20,20,45,195,1,0,0,0,0,0,1,255,Medium Fast,1000000,39,Bug,,15,,
11,Metapod,https://assets.pokemon.com/assets/cms2/img/pokedex/full/011.png,Cocoon Pokemon,,,,0.7,9.9,Bug,,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,,,,,,,50,50,70,Red / Blue / Yellow,Kanto,50,20,55,25,25,30,205,0,0,2,0,0,0,2,120,Medium Fast,1000000,72,Bug,,15,32,Level 7
12,Butterfree,https://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png,Butterfly Pokemon,,,,1.1,32,Bug,Flying,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,,,Tinted Lens,"The Pokémon can use ""not very effective"" moves to deal regular damage.",,,50,50,70,Red / Blue / Yellow,Kanto,60,45,50,90,80,70,395,0,0,0,2,1,0,3,45,Medium Fast,1000000,178,Bug,,15,23,Level 10
12,Butterfree,https://assets.pokemon.com/assets/cms2/img/pokedex/full/012_f2.png,Butterfly Pokemon,Gigantamax,24,,17,0,Bug,Flying,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,,,Tinted Lens,"The Pokémon can use ""not very effective"" moves to deal regular damage.",,,50,50,70,Sword / Shield,Galar,60,45,50,90,80,70,395,0,0,0,2,1,0,3,45,Medium Fast,1000000,178,Bug,,15,,
13,Weedle,https://assets.pokemon.com/assets/cms2/img/pokedex/full/013.png,Hairy Bug Pokemon,,,,0.3,3.2,Bug,Poison,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,,,Run Away,Enables a sure getaway from wild Pokémon.,,,50,50,70,Red / Blue / Yellow,Kanto,40,35,30,20,20,50,195,0,0,0,0,0,1,1,255,Medium Fast,1000000,39,Bug,,15,,
14,Kakuna,https://assets.pokemon.com/assets/cms2/img/pokedex/full/014.png,Cocoon Pokemon,,,,0.6,10,Bug,Poison,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,,,,,,,50,50,70,Red / Blue / Yellow,Kanto,45,25,50,25,25,35,205,0,0,2,0,0,0,2,120,Medium Fast,1000000,72,Bug,,15,31,Level 7
15,Beedrill,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png,Poison Bee Pokemon,,,,1,29.5,Bug,Poison,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,,,Sniper,Powers up moves if they become critical hits when attacking.,,,50,50,70,Red / Blue / Yellow,Kanto,65,90,40,45,80,75,395,0,2,0,0,1,0,3,45,Medium Fast,1000000,178,Bug,,15,30,Level 10
15,Beedrill,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015_f2.png,Poison Bee Pokemon,Mega,27,,1.4,40.5,Bug,Poison,Adaptability,Powers up moves of the same type as the Pokémon.,,,,,,,50,50,70,Omega Ruby / Alpha Sapphire,Kalos,65,150,40,15,80,145,495,0,2,0,0,1,0,3,45,Medium Fast,1000000,223,Bug,,15,,
16,Pidgey,https://assets.pokemon.com/assets/cms2/img/pokedex/full/016.png,Tiny Bird Pokemon,,,,0.3,1.8,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tangled Feet,Raises evasiveness if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,,,50,50,70,Red / Blue / Yellow,Kanto,40,45,40,35,35,56,251,0,0,0,0,0,1,1,255,Medium Slow,1059860,50,Flying,,15,,
17,Pidgeotto,https://assets.pokemon.com/assets/cms2/img/pokedex/full/017.png,Bird Pokemon,,,,1.1,30,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tangled Feet,Raises evasiveness if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,,,50,50,70,Red / Blue / Yellow,Kanto,63,60,55,50,50,71,349,0,0,0,0,0,2,2,120,Medium Slow,1059860,122,Flying,,15,76,Level 18
18,Pidgeot,https://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png,Bird Pokemon,,,,1.5,39.5,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tangled Feet,Raises evasiveness if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,,,50,50,70,Red / Blue / Yellow,Kanto,83,80,75,70,70,101,479,0,0,0,0,0,3,3,45,Medium Slow,1059860,216,Flying,,15,77,Level 36
18,Pidgeot,https://assets.pokemon.com/assets/cms2/img/pokedex/full/018_f2.png,Bird Pokemon,Mega,78,,2.2,50.5,Normal,Flying,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,,,,,,,50,50,70,Omega Ruby / Alpha Sapphire,Kalos,83,80,80,135,80,121,579,0,0,0,0,0,3,3,45,Medium Slow,1059860,261,Flying,,15,,
19,Rattata,https://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png,Mouse Pokemon,,,,0.3,3.5,Normal,,Run Away,Enables a sure getaway from wild Pokémon.,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Hustle,"Boosts the Attack stat, but lowers accuracy.",,,50,50,70,Red / Blue / Yellow,Kanto,30,56,35,25,35,72,253,0,0,0,0,0,1,1,255,Medium Fast,1000000,51,Field,,15,,
19,Rattata,https://assets.pokemon.com/assets/cms2/img/pokedex/full/019_f2.png,Mouse Pokemon,Alola,80,,0.3,3.8,Dark,Normal,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Hustle,"Boosts the Attack stat, but lowers accuracy.",Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",,,50,50,70,Sun / Moon,Alola,30,56,35,25,35,72,253,0,0,0,0,0,1,1,255,Medium Fast,1000000,51,Field,,15,,
20,Raticate,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png,Mouse Pokemon,,,,0.7,18.5,Normal,,Run Away,Enables a sure getaway from wild Pokémon.,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Hustle,"Boosts the Attack stat, but lowers accuracy.",,,50,50,70,Red / Blue / Yellow,Kanto,55,81,60,50,70,97,413,0,0,0,0,0,2,2,127,Medium Fast,1000000,145,Field,,15,80,Level 20
20,Raticate,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020_f2.png,Mouse Pokemon,Alola,82,,0.7,25.5,Dark,Normal,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Hustle,"Boosts the Attack stat, but lowers accuracy.",Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",,,50,50,70,Sun / Moon,Alola,75,71,70,40,80,77,413,0,0,0,0,0,2,2,127,Medium Fast,1000000,145,Field,,15,81,Level 20
21,Spearow,https://assets.pokemon.com/assets/cms2/img/pokedex/full/021.png,Tiny Bird Pokemon,,,,0.3,2,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,,,Sniper,Powers up moves if they become critical hits when attacking.,,,50,50,70,Red / Blue / Yellow,Kanto,40,60,30,31,31,70,262,0,0,0,0,0,1,1,255,Medium Fast,1000000,52,Flying,,15,,
22,Fearow,https://assets.pokemon.com/assets/cms2/img/pokedex/full/022.png,Beak Pokemon,,,,1.2,38,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,,,Sniper,Powers up moves if they become critical hits when attacking.,,,50,50,70,Red / Blue / Yellow,Kanto,65,90,65,61,61,100,442,0,0,0,0,0,2,2,90,Medium Fast,1000000,155,Flying,,15,84,Level 20
23,Ekans,https://assets.pokemon.com/assets/cms2/img/pokedex/full/023.png,Snake Pokemon,,,,2,6.9,Poison,,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,,,50,50,70,Red / Blue / Yellow,Kanto,35,60,44,40,54,55,288,0,1,0,0,0,0,1,255,Medium Fast,1000000,58,Field,Dragon,20,,
24,Arbok,https://assets.pokemon.com/assets/cms2/img/pokedex/full/024.png,Cobra Pokemon,,,,3.5,65,Poison,,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,,,50,50,70,Red / Blue / Yellow,Kanto,60,95,69,65,79,80,448,0,2,0,0,0,0,2,90,Medium Fast,1000000,157,Field,Dragon,20,86,Level 22
25,Pikachu,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,Mouse Pokemon,,,,0.4,6,Electric,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",,,50,50,70,Red / Blue / Yellow,Kanto,35,55,40,50,50,90,320,0,0,0,0,0,2,2,190,Medium Fast,1000000,112,Field,Fairy,10,88,
25,Pikachu,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025_f2.png,Mouse Pokemon,Gigantamax,89,,21,0,Electric,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",,,50,50,70,Sword / Shield,Galar,35,55,40,50,50,90,320,0,0,0,0,0,2,2,190,Medium Fast,1000000,112,Field,Fairy,10,,
25,Pikachu,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,Mouse Pokemon,Starter,89,,0.4,6,Electric,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",,,50,50,70,Let's Go Pikachu / Let's Go Eevee,Alola,45,80,50,75,60,120,430,0,0,0,0,0,2,2,190,Medium Fast,1000000,112,Field,Fairy,10,,
26,Raichu,https://assets.pokemon.com/assets/cms2/img/pokedex/full/026.png,Mouse Pokemon,,,,0.8,30,Electric,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",,,50,50,70,Red / Blue / Yellow,Kanto,60,90,55,90,80,110,485,0,0,0,0,0,3,3,75,Medium Fast,1000000,218,Field,Fairy,10,89,Thunder Stone
26,Raichu,https://assets.pokemon.com/assets/cms2/img/pokedex/full/026_f2.png,Mouse Pokemon,Alola,90,,0.7,21,Electric,Psychic,Surge Surfer,Doubles the Pokémon's Speed stat on Electric Terrain.,,,,,,,50,50,70,Sun / Moon,Alola,60,85,50,95,85,110,485,0,0,0,0,0,3,3,75,Medium Fast,1000000,218,Field,Fairy,10,89,Thunder Stone In Alola
27,Sandshrew,https://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png,Mouse Pokemon,,,,0.6,12,Ground,,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,,,Sand Rush,Boosts the Pokémon's Speed stat in a sandstorm.,,,50,50,70,Red / Blue / Yellow,Kanto,50,75,85,20,30,40,300,0,0,1,0,0,0,1,255,Medium Fast,1000000,60,Field,,20,,
27,Sandshrew,https://assets.pokemon.com/assets/cms2/img/pokedex/full/027_f2.png,Mouse Pokemon,Alola,92,,0.7,40,Ice,Steel,Snow Cloak,Boosts evasiveness in a hailstorm.,,,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,,,50,50,70,Sun / Moon,Alola,50,75,90,10,35,40,300,0,0,1,0,0,0,1,255,Medium Fast,1000000,60,Field,,20,,
28,Sandslash,https://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png,Mouse Pokemon,,,,1,29.5,Ground,,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,,,Sand Rush,Boosts the Pokémon's Speed stat in a sandstorm.,,,50,50,70,Red / Blue / Yellow,Kanto,75,100,110,45,55,65,450,0,0,2,0,0,0,2,90,Medium Fast,1000000,158,Field,,20,92,Level 22
28,Sandslash,https://assets.pokemon.com/assets/cms2/img/pokedex/full/028_f2.png,Mouse Pokemon,Alola,94,,1.2,55,Ice,Steel,Snow Cloak,Boosts evasiveness in a hailstorm.,,,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,,,50,50,70,Sun / Moon,Alola,75,100,120,25,65,65,450,0,0,2,0,0,0,2,90,Medium Fast,1000000,158,Field,,20,93,Ice Stone
29,Nidoran (Female),https://assets.pokemon.com/assets/cms2/img/pokedex/full/029.png,Poison Pin Pokemon,,,,0.4,7,Poison,,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",,,0,100,70,Red / Blue / Yellow,Kanto,55,47,52,40,40,41,275,1,0,0,0,0,0,1,235,Medium Slow,1059860,55,Monster,Field,20,,
30,Nidorina,https://assets.pokemon.com/assets/cms2/img/pokedex/full/030.png,Poison Pin Pokemon,,,,0.8,20,Poison,,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",,,0,100,70,Red / Blue / Yellow,Kanto,70,62,67,55,55,56,365,2,0,0,0,0,0,2,120,Medium Slow,1059860,128,Undiscovered,,20,33,Level 16
31,Nidoqueen,https://assets.pokemon.com/assets/cms2/img/pokedex/full/031.png,Drill Pokemon,,,,1.3,60,Poison,Ground,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,,,0,100,70,Red / Blue / Yellow,Kanto,90,92,87,75,85,76,505,3,0,0,0,0,0,3,45,Medium Slow,1059860,227,Undiscovered,,20,17,Moon Stone
32,Nidoran (Male),https://assets.pokemon.com/assets/cms2/img/pokedex/full/032.png,Poison Pin Pokemon,,,,0.5,9,Poison,,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",,,100,0,70,Red / Blue / Yellow,Kanto,46,57,40,40,40,50,273,0,1,0,0,0,0,1,235,Medium Slow,1059860,55,Monster,Field,20,,
33,Nidorino,https://assets.pokemon.com/assets/cms2/img/pokedex/full/033.png,Poison Pin Pokemon,,,,0.9,19.5,Poison,,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",,,100,0,70,Red / Blue / Yellow,Kanto,61,72,57,55,55,65,365,0,2,0,0,0,0,2,120,Medium Slow,1059860,128,Monster,Field,20,48,Level 16
34,Nidoking,https://assets.pokemon.com/assets/cms2/img/pokedex/full/034.png,Drill Pokemon,,,,1.4,62,Poison,Ground,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,,,100,0,70,Red / Blue / Yellow,Kanto,81,102,77,85,75,85,505,0,3,0,0,0,0,3,45,Medium Slow,1059860,227,Monster,Field,20,49,Moon Stone
35,Clefairy,https://assets.pokemon.com/assets/cms2/img/pokedex/full/035.png,Fairy Pokemon,,,,0.6,7.5,Fairy,,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Guard,The Pokémon only takes damage from attacks.,Friend Guard,Reduces damage done to allies.,,,25,75,140,Red / Blue / Yellow,Kanto,70,45,48,60,65,35,323,2,0,0,0,0,0,2,150,Fast,800000,113,Fairy,,20,51,
36,Clefable,https://assets.pokemon.com/assets/cms2/img/pokedex/full/036.png,Fairy Pokemon,,,,1.3,40,Fairy,,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Guard,The Pokémon only takes damage from attacks.,Unaware,"When attacking, the Pokémon ignores the target Pokémon's stat changes.",,,25,75,140,Red / Blue / Yellow,Kanto,95,70,73,95,90,60,483,3,0,0,0,0,0,3,25,Fast,800000,217,Fairy,,10,52,Moon Stone
37,Vulpix,https://assets.pokemon.com/assets/cms2/img/pokedex/full/037.png,Fox Pokemon,,,,0.6,9.9,Fire,,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,,,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,,,25,75,70,Red / Blue / Yellow,Kanto,38,41,40,50,65,65,299,0,0,0,0,0,1,1,190,Medium Fast,1000000,60,Field,,20,,
37,Vulpix,https://assets.pokemon.com/assets/cms2/img/pokedex/full/037_f2.png,Fox Pokemon,Alola,54,,0.6,9.9,Ice,,Snow Cloak,Boosts evasiveness in a hailstorm.,,,Snow Warning,The Pokémon summons a hailstorm when it enters a battle.,,,25,75,70,Sun / Moon,Alola,38,41,40,50,65,65,299,0,0,0,0,0,1,1,190,Medium Fast,1000000,60,Field,,20,,
38,Ninetales,https://assets.pokemon.com/assets/cms2/img/pokedex/full/038.png,Fox Pokemon,,,,1.1,19.9,Fire,,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,,,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,,,25,75,70,Red / Blue / Yellow,Kanto,73,76,75,81,100,100,505,0,0,0,0,1,1,2,75,Medium Fast,1000000,177,Field,,20,54,Fire Stone
38,Ninetales,https://assets.pokemon.com/assets/cms2/img/pokedex/full/038_f2.png,Fox Pokemon,Alola,56,,1.1,19.9,Ice,Fairy,Snow Cloak,Boosts evasiveness in a hailstorm.,,,Snow Warning,The Pokémon summons a hailstorm when it enters a battle.,,,25,75,70,Sun / Moon,Alola,73,67,75,81,100,109,505,0,0,0,0,0,2,2,75,Medium Fast,1000000,177,Field,,20,55,Ice Stone
39,Jigglypuff,https://assets.pokemon.com/assets/cms2/img/pokedex/full/039.png,Balloon Pokemon,,,,0.5,5.5,Normal,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Friend Guard,Reduces damage done to allies.,,,25,75,70,Red / Blue / Yellow,Kanto,115,45,20,45,25,20,270,2,0,0,0,0,0,2,170,Fast,800000,95,Fairy,,10,58,
40,Wigglytuff,https://assets.pokemon.com/assets/cms2/img/pokedex/full/040.png,Balloon Pokemon,,,,1,12,Normal,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",,,25,75,70,Red / Blue / Yellow,Kanto,140,70,45,85,50,45,435,3,0,0,0,0,0,3,50,Fast,800000,196,Fairy,,10,59,Moon Stone
